setting,n,K,replications,theta_bias,theta_mcsd,theta_ase,theta_coverage,alpha_bias,alpha_mcsd,alpha_ase,alpha_coverage,delta_bias,delta_mcsd,delta_ase,delta_coverage
linear_n400,400,5,200,-0.030105,0.061725,0.059387,0.935,-0.030337,0.038127,0.031494,0.775,0.000231,0.052830,0.050912,0.950
shared_profile_n400,400,2 per mediator,200,-0.067041,0.091588,0.086343,0.860,-0.069366,0.058514,0.051702,0.700,0.002326,0.073479,0.070907,0.935
